ext_color_name,ess_color_name,bas_color_name,ext_hex_code,ess_hex_code,bas_hex_code,ext_oklch_coords,ess_oklch_coords,bas_oklch_coords
white,white,white,#ffffff,#ffffff,#ffffff,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)"
black,black,black,#000000,#000000,#000000,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
grey,grey,grey,#808080,#808080,#808080,"(0.6, 0.0, 0.0)","(0.6, 0.0, 0.0)","(0.6, 0.0, 0.0)"
pink,pink,pink,#ff4081,#ff4081,#ff4081,"(0.67, 0.23, 5.73)","(0.67, 0.23, 5.73)","(0.67, 0.23, 5.73)"
black_l10_c0_h6,black,black,#030303,#000000,#000000,"(0.1, 0.0, 5.73)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
black_l20_c0_h6,black_l20_c0_h6,black,#161616,#161616,#000000,"(0.2, 0.0, 5.73)","(0.2, 0.0, 5.73)","(0.0, 0.0, 0.0)"
grey_l30_c0_h6,grey_l40_c0_h6,grey,#2e2e2e,#484848,#808080,"(0.3, 0.0, 5.73)","(0.4, 0.0, 5.73)","(0.6, 0.0, 0.0)"
grey_l40_c0_h6,grey_l40_c0_h6,grey,#484848,#484848,#808080,"(0.4, 0.0, 5.73)","(0.4, 0.0, 5.73)","(0.6, 0.0, 0.0)"
grey_l50_c0_h6,grey,grey,#636363,#808080,#808080,"(0.5, 0.0, 5.73)","(0.6, 0.0, 0.0)","(0.6, 0.0, 0.0)"
grey_l70_c0_h6,grey,grey,#9e9e9e,#808080,#808080,"(0.7, 0.0, 5.73)","(0.6, 0.0, 0.0)","(0.6, 0.0, 0.0)"
grey_l80_c0_h6,grey_l80_c0_h6,grey,#bebebe,#bebebe,#808080,"(0.8, 0.0, 5.73)","(0.8, 0.0, 5.73)","(0.6, 0.0, 0.0)"
grey_l90_c0_h6,grey_l90_c0_h6,grey,#dedede,#dedede,#808080,"(0.9, 0.0, 5.73)","(0.9, 0.0, 5.73)","(0.6, 0.0, 0.0)"
white_l95_c0_h6,white_l95_c0_h6,white,#eeeeee,#eeeeee,#ffffff,"(0.95, 0.0, 5.73)","(0.95, 0.0, 5.73)","(1.0, 0.0, 0.0)"
white_l97_c0_h6,white_l95_c0_h6,white,#f5f5f5,#eeeeee,#ffffff,"(0.97, 0.0, 5.73)","(0.95, 0.0, 5.73)","(1.0, 0.0, 0.0)"
black_l10_c1_h6,black,black,#050303,#000000,#000000,"(0.1, 0.01, 5.73)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
black_l20_c1_h6,black_l20_c0_h6,black,#1a1415,#161616,#000000,"(0.2, 0.01, 5.73)","(0.2, 0.0, 5.73)","(0.0, 0.0, 0.0)"
grey_l30_c1_h6,grey_l40_c0_h6,grey,#332c2d,#484848,#808080,"(0.3, 0.01, 5.73)","(0.4, 0.0, 5.73)","(0.6, 0.0, 0.0)"
