color_name,hex_code,oklch_coords
white,#ffffff,"(1.0, 0.0, 0.0)"
black,#000000,"(0.0, 0.0, 0.0)"
grey,#808080,"(0.6, 0.0, 0.0)"
pink,#ff4081,"(0.67, 0.23, 5.73)"
red,#ff5252,"(0.68, 0.21, 24.66)"
deeporange,#ff6e40,"(0.71, 0.19, 37.8)"
orange,#ffab40,"(0.81, 0.15, 68.43)"
amber,#ffd740,"(0.89, 0.16, 93.4)"
yellow,#ffff00,"(0.97, 0.21, 109.77)"
lime,#eeff41,"(0.96, 0.2, 114.76)"
lightgreen,#b2ff59,"(0.92, 0.21, 130.88)"
green,#69f0ae,"(0.86, 0.15, 159.4)"
teal,#64ffda,"(0.91, 0.14, 174.34)"
cyan,#18ffff,"(0.91, 0.15, 194.8)"
lightblue,#40c4ff,"(0.77, 0.14, 232.35)"
blue,#448aff,"(0.65, 0.19, 260.08)"
indigo,#536dfe,"(0.6, 0.22, 270.69)"
deeppurple,#7c4dff,"(0.58, 0.25, 288.24)"
purple,#e040fb,"(0.68, 0.28, 321.37)"
