color_name,hex_code,oklch_coords
white,#ffffff,"(1.0, 0.0, 0.0)"
black,#000000,"(0.0, 0.0, 0.0)"
grey,#808080,"(0.6, 0.0, 0.0)"
pink,#ff4081,"(0.67, 0.23, 5.73)"
black_l20_c0_h6,#161616,"(0.2, 0.0, 5.73)"
grey_l40_c0_h6,#484848,"(0.4, 0.0, 5.73)"
grey_l80_c0_h6,#bebebe,"(0.8, 0.0, 5.73)"
grey_l90_c0_h6,#dedede,"(0.9, 0.0, 5.73)"
white_l95_c0_h6,#eeeeee,"(0.95, 0.0, 5.73)"
black_l20_c2_h6,#1e1215,"(0.2, 0.02, 5.73)"
pink_l40_c2_h6,#524346,"(0.4, 0.02, 5.73)"
grey_l60_c2_h6,#8b7b7e,"(0.6, 0.02, 5.73)"
pink_l80_c2_h6,#cab9bc,"(0.8, 0.02, 5.73)"
pink_l90_c2_h6,#ebd9dc,"(0.9, 0.02, 5.73)"
white_l95_c2_h6,#fbe9ec,"(0.95, 0.02, 5.73)"
black_l20_c4_h6,#250e13,"(0.2, 0.04, 5.73)"
pink_l40_c4_h6,#5b3f44,"(0.4, 0.04, 5.73)"
pink_l60_c4_h6,#96777d,"(0.6, 0.04, 5.73)"
pink_l80_c4_h6,#d6b4ba,"(0.8, 0.04, 5.73)"
pink_l90_c4_h6,#f7d4da,"(0.9, 0.04, 5.73)"
pink_l20_c7_h6,#2e0411,"(0.2, 0.07, 5.73)"
pink_l40_c7_h6,#673742,"(0.4, 0.07, 5.73)"
pink_l60_c7_h6,#a56f7a,"(0.6, 0.07, 5.73)"
pink_l80_c7_h6,#e6abb7,"(0.8, 0.07, 5.73)"
pink_l40_c15_h6,#830f3c,"(0.4, 0.15, 5.73)"
pink_l60_c15_h6,#c75373,"(0.6, 0.15, 5.73)"
pink_l60_c22_h6,#e1276d,"(0.6, 0.22, 5.73)"
red,#ff5252,"(0.68, 0.21, 24.66)"
black_l20_c2_h25,#1e1311,"(0.2, 0.02, 24.66)"
red_l40_c2_h25,#524442,"(0.4, 0.02, 24.66)"
grey_l60_c2_h25,#8c7c7a,"(0.6, 0.02, 24.66)"
red_l80_c2_h25,#cab9b7,"(0.8, 0.02, 24.66)"
red_l90_c2_h25,#ebd9d7,"(0.9, 0.02, 24.66)"
white_l95_c2_h25,#fceae8,"(0.95, 0.02, 24.66)"
black_l20_c4_h25,#250e0d,"(0.2, 0.04, 24.66)"
red_l40_c4_h25,#5c3f3d,"(0.4, 0.04, 24.66)"
red_l60_c4_h25,#977774,"(0.6, 0.04, 24.66)"
red_l80_c4_h25,#d7b4b1,"(0.8, 0.04, 24.66)"
red_l90_c4_h25,#f8d4d1,"(0.9, 0.04, 24.66)"
red_l20_c7_h25,#2f0405,"(0.2, 0.07, 24.66)"
red_l40_c7_h25,#683834,"(0.4, 0.07, 24.66)"
red_l60_c7_h25,#a6706b,"(0.6, 0.07, 24.66)"
red_l80_c7_h25,#e8ada7,"(0.8, 0.07, 24.66)"
red_l40_c15_h25,#861119,"(0.4, 0.15, 24.66)"
red_l60_c15_h25,#ca5551,"(0.6, 0.15, 24.66)"
red_l60_c22_h25,#e62b36,"(0.6, 0.22, 24.66)"
deeporange,#ff6e40,"(0.71, 0.19, 37.8)"
black_l20_c2_h38,#1e130f,"(0.2, 0.02, 37.8)"
deeporange_l40_c2_h38,#524440,"(0.4, 0.02, 37.8)"
deeporange_l60_c2_h38,#8c7c78,"(0.6, 0.02, 37.8)"
deeporange_l80_c2_h38,#cabab5,"(0.8, 0.02, 37.8)"
deeporange_l90_c2_h38,#ebdad5,"(0.9, 0.02, 37.8)"
white_l95_c2_h38,#fbeae5,"(0.95, 0.02, 37.8)"
black_l20_c4_h38,#250f08,"(0.2, 0.04, 37.8)"
deeporange_l40_c4_h38,#5b4038,"(0.4, 0.04, 37.8)"
deeporange_l60_c4_h38,#96786f,"(0.6, 0.04, 37.8)"
deeporange_l80_c4_h38,#d6b5ac,"(0.8, 0.04, 37.8)"
deeporange_l90_c4_h38,#f7d6cb,"(0.9, 0.04, 37.8)"
deeporange_l40_c7_h38,#68392b,"(0.4, 0.07, 37.8)"
deeporange_l60_c7_h38,#a57262,"(0.6, 0.07, 37.8)"
deeporange_l80_c7_h38,#e6af9e,"(0.8, 0.07, 37.8)"
deeporange_l60_c15_h38,#c95a37,"(0.6, 0.15, 37.8)"
orange,#ffab40,"(0.81, 0.15, 68.43)"
black_l20_c2_h68,#1c140c,"(0.2, 0.02, 68.43)"
orange_l40_c2_h68,#4f463c,"(0.4, 0.02, 68.43)"
orange_l60_c2_h68,#887e74,"(0.6, 0.02, 68.43)"
orange_l80_c2_h68,#c7bcb0,"(0.8, 0.02, 68.43)"
orange_l90_c2_h68,#e7dcd0,"(0.9, 0.02, 68.43)"
white_l95_c2_h68,#f8ece1,"(0.95, 0.02, 68.43)"
black_l20_c4_h68,#221202,"(0.2, 0.04, 68.43)"
orange_l40_c4_h68,#564430,"(0.4, 0.04, 68.43)"
orange_l60_c4_h68,#917c67,"(0.6, 0.04, 68.43)"
orange_l80_c4_h68,#cfbaa3,"(0.8, 0.04, 68.43)"
orange_l90_c4_h68,#f0dac2,"(0.9, 0.04, 68.43)"
orange_l40_c7_h68,#604019,"(0.4, 0.07, 68.43)"
orange_l60_c7_h68,#9c7952,"(0.6, 0.07, 68.43)"
orange_l80_c7_h68,#dcb68d,"(0.8, 0.07, 68.43)"
orange_l90_c7_h68,#fdd6ad,"(0.9, 0.07, 68.43)"
orange_l80_c15_h68,#fcaa42,"(0.8, 0.15, 68.43)"
amber,#ffd740,"(0.89, 0.16, 93.4)"
black_l20_c2_h93,#19160b,"(0.2, 0.02, 93.4)"
amber_l40_c2_h93,#4b483c,"(0.4, 0.02, 93.4)"
