color_name,hex_code,oklch_coords
white,#ffffff,"(1.0, 0.0, 0.0)"
black,#000000,"(0.0, 0.0, 0.0)"
grey,#808080,"(0.6, 0.0, 0.0)"
pink,#ff4081,"(0.67, 0.23, 5.73)"
black_l10_c0_h6,#030303,"(0.1, 0.0, 5.73)"
black_l20_c0_h6,#161616,"(0.2, 0.0, 5.73)"
grey_l30_c0_h6,#2e2e2e,"(0.3, 0.0, 5.73)"
grey_l40_c0_h6,#484848,"(0.4, 0.0, 5.73)"
grey_l50_c0_h6,#636363,"(0.5, 0.0, 5.73)"
grey_l70_c0_h6,#9e9e9e,"(0.7, 0.0, 5.73)"
grey_l80_c0_h6,#bebebe,"(0.8, 0.0, 5.73)"
grey_l90_c0_h6,#dedede,"(0.9, 0.0, 5.73)"
white_l95_c0_h6,#eeeeee,"(0.95, 0.0, 5.73)"
white_l97_c0_h6,#f5f5f5,"(0.97, 0.0, 5.73)"
black_l10_c1_h6,#050303,"(0.1, 0.01, 5.73)"
black_l20_c1_h6,#1a1415,"(0.2, 0.01, 5.73)"
grey_l30_c1_h6,#332c2d,"(0.3, 0.01, 5.73)"
grey_l40_c1_h6,#4d4647,"(0.4, 0.01, 5.73)"
grey_l50_c1_h6,#696162,"(0.5, 0.01, 5.73)"
grey_l60_c1_h6,#867e7f,"(0.6, 0.01, 5.73)"
grey_l70_c1_h6,#a49c9d,"(0.7, 0.01, 5.73)"
grey_l80_c1_h6,#c4bbbd,"(0.8, 0.01, 5.73)"
pink_l90_c1_h6,#e4dbdd,"(0.9, 0.01, 5.73)"
white_l95_c1_h6,#f5eced,"(0.95, 0.01, 5.73)"
white_l97_c1_h6,#fcf2f4,"(0.97, 0.01, 5.73)"
black_l10_c2_h6,#080203,"(0.1, 0.02, 5.73)"
black_l20_c2_h6,#1e1215,"(0.2, 0.02, 5.73)"
pink_l30_c2_h6,#372a2c,"(0.3, 0.02, 5.73)"
pink_l40_c2_h6,#524346,"(0.4, 0.02, 5.73)"
grey_l50_c2_h6,#6e5f61,"(0.5, 0.02, 5.73)"
grey_l60_c2_h6,#8b7b7e,"(0.6, 0.02, 5.73)"
grey_l70_c2_h6,#aa9a9c,"(0.7, 0.02, 5.73)"
pink_l80_c2_h6,#cab9bc,"(0.8, 0.02, 5.73)"
pink_l90_c2_h6,#ebd9dc,"(0.9, 0.02, 5.73)"
white_l95_c2_h6,#fbe9ec,"(0.95, 0.02, 5.73)"
black_l10_c4_h6,#0c0002,"(0.1, 0.04, 5.73)"
black_l20_c4_h6,#250e13,"(0.2, 0.04, 5.73)"
pink_l30_c4_h6,#3f252b,"(0.3, 0.04, 5.73)"
pink_l40_c4_h6,#5b3f44,"(0.4, 0.04, 5.73)"
pink_l50_c4_h6,#785a60,"(0.5, 0.04, 5.73)"
pink_l60_c4_h6,#96777d,"(0.6, 0.04, 5.73)"
pink_l70_c4_h6,#b5959b,"(0.7, 0.04, 5.73)"
pink_l80_c4_h6,#d6b4ba,"(0.8, 0.04, 5.73)"
pink_l90_c4_h6,#f7d4da,"(0.9, 0.04, 5.73)"
pink_l20_c7_h6,#2e0411,"(0.2, 0.07, 5.73)"
pink_l30_c7_h6,#4a1d29,"(0.3, 0.07, 5.73)"
pink_l40_c7_h6,#673742,"(0.4, 0.07, 5.73)"
pink_l50_c7_h6,#85525d,"(0.5, 0.07, 5.73)"
pink_l60_c7_h6,#a56f7a,"(0.6, 0.07, 5.73)"
pink_l70_c7_h6,#c58d98,"(0.7, 0.07, 5.73)"
pink_l80_c7_h6,#e6abb7,"(0.8, 0.07, 5.73)"
pink_l30_c11_h6,#570826,"(0.3, 0.11, 5.73)"
pink_l40_c11_h6,#76283f,"(0.4, 0.11, 5.73)"
pink_l50_c11_h6,#96455a,"(0.5, 0.11, 5.73)"
pink_l60_c11_h6,#b66276,"(0.6, 0.11, 5.73)"
pink_l70_c11_h6,#d88094,"(0.7, 0.11, 5.73)"
pink_l80_c11_h6,#fa9fb3,"(0.8, 0.11, 5.73)"
pink_l40_c15_h6,#830f3c,"(0.4, 0.15, 5.73)"
pink_l50_c15_h6,#a53456,"(0.5, 0.15, 5.73)"
pink_l60_c15_h6,#c75373,"(0.6, 0.15, 5.73)"
pink_l70_c15_h6,#ea7291,"(0.7, 0.15, 5.73)"
pink_l50_c18_h6,#af2054,"(0.5, 0.18, 5.73)"
pink_l60_c18_h6,#d34570,"(0.6, 0.18, 5.73)"
pink_l70_c18_h6,#f6668e,"(0.7, 0.18, 5.73)"
pink_l60_c22_h6,#e1276d,"(0.6, 0.22, 5.73)"
red,#ff5252,"(0.68, 0.21, 24.66)"
black_l10_c1_h25,#050302,"(0.1, 0.01, 24.66)"
black_l20_c1_h25,#1a1414,"(0.2, 0.01, 24.66)"
grey_l30_c1_h25,#332c2b,"(0.3, 0.01, 24.66)"
grey_l40_c1_h25,#4d4645,"(0.4, 0.01, 24.66)"
grey_l50_c1_h25,#696160,"(0.5, 0.01, 24.66)"
grey_l60_c1_h25,#867e7d,"(0.6, 0.01, 24.66)"
grey_l70_c1_h25,#a59c9b,"(0.7, 0.01, 24.66)"
grey_l80_c1_h25,#c4bbba,"(0.8, 0.01, 24.66)"
red_l90_c1_h25,#e5dcdb,"(0.9, 0.01, 24.66)"
white_l95_c1_h25,#f5eceb,"(0.95, 0.01, 24.66)"
white_l97_c1_h25,#fcf3f2,"(0.97, 0.01, 24.66)"
black_l10_c2_h25,#080202,"(0.1, 0.02, 24.66)"
black_l20_c2_h25,#1e1311,"(0.2, 0.02, 24.66)"
red_l30_c2_h25,#372a29,"(0.3, 0.02, 24.66)"
red_l40_c2_h25,#524442,"(0.4, 0.02, 24.66)"
grey_l50_c2_h25,#6e5f5e,"(0.5, 0.02, 24.66)"
